area_name,pucca,semi_Pucca,kutcha,latitude,longitude,LULC_Code,LULC_Description
BBMP (M Corp. + OG) - Ward No.95,88.1,10.7,0.9,,,,
BBMP (M Corp. + OG) - Ward No.96,93.2,6.2,0.4,,,,
BBMP (M Corp. + OG) - Ward No.97,94.6,5.2,0.1,,,,
BBMP (M Corp. + OG) - Ward No.98,99.1,0.8,0,,,,
BBMP (M Corp. + OG) - Ward No.99,98,1.7,0.1,,,,
BBMP (M Corp. + OG) - Ward No.100,98,1.9,0,,,,
BBMP (M Corp. + OG) - Ward No.101,96.9,2.7,0.1,,,,
BBMP (M Corp. + OG) - Ward No.102,95.4,4.2,0.2,,,,
BBMP (M Corp. + OG) - Ward No.103,98,1.7,0.2,,,,
BBMP (M Corp. + OG) - Ward No.104,92.7,7,0.2,,,,
BBMP (M Corp. + OG) - Ward No.105,95.9,3.3,0.3,,,,
BBMP (M Corp. + OG) - Ward No.106,98,1.5,0.1,,,,
BBMP (M Corp. + OG) - Ward No.107,96.3,3.5,0,,,,
BBMP (M Corp. + OG) - Ward No.108,96.9,2.9,0.1,,,,
BBMP (M Corp. + OG) - Ward No.109,96.9,2.5,0.3,,,,
BBMP (M Corp. + OG) - Ward No.110,97.6,1.8,0.3,,,,
BBMP (M Corp. + OG) - Ward No.111,96.3,3.5,0.1,,,,
BBMP (M Corp. + OG) - Ward No.112,89.8,9.2,0.8,,,,
BBMP (M Corp. + OG) - Ward No.113,93.8,3.8,2.1,,,,
BBMP (M Corp. + OG) - Ward No.114,89,10,0.1,,,,
BBMP (M Corp. + OG) - Ward No.115,95.2,4.5,0.1,,,,
BBMP (M Corp. + OG) - Ward No.116,92.6,6.8,0.3,,,,
BBMP (M Corp. + OG) - Ward No.117,92.5,7,0.2,,,,
BBMP (M Corp. + OG) - Ward No.118,92.2,6.6,1,,,,
BBMP (M Corp. + OG) - Ward No.119,94.7,4.1,1,,,,
BBMP (M Corp. + OG) - Ward No.120,93.4,6.4,0.2,,,,
BBMP (M Corp. + OG) - Ward No.121,95.5,4.2,0.2,,,,
BBMP (M Corp. + OG) - Ward No.122,96.5,2.6,0.1,,,,
BBMP (M Corp. + OG) - Ward No.123,95.2,4.5,0.2,,,,
BBMP (M Corp. + OG) - Ward No.124,92.9,6.1,0.6,,,,
BBMP (M Corp. + OG) - Ward No.125,97,2.7,0.2,,,,
BBMP (M Corp. + OG) - Ward No.126,95.5,4.2,0.1,,,,
BBMP (M Corp. + OG) - Ward No.127,94.7,4.8,0.4,,,,
BBMP (M Corp. + OG) - Ward No.128,94.2,4.8,0.9,,,,
BBMP (M Corp. + OG) - Ward No.129,96.3,3,0.5,,,,
BBMP (M Corp. + OG) - Ward No.130,92.9,4.6,1.8,,,,
BBMP (M Corp. + OG) - Ward No.131,87,3.7,8.9,,,,
BBMP (M Corp. + OG) - Ward No.132,97.5,2.1,0.3,,,,
BBMP (M Corp. + OG) - Ward No.133,94.8,3.6,1.4,,,,
BBMP (M Corp. + OG) - Ward No.134,97.1,2.5,0.2,,,,
BBMP (M Corp. + OG) - Ward No.135,95.5,4.2,0.1,,,,
BBMP (M Corp. + OG) - Ward No.136,90.9,8.7,0.3,,,,
BBMP (M Corp. + OG) - Ward No.137,94.7,4.7,0.5,,,,
BBMP (M Corp. + OG) - Ward No.138,87,12.5,0.4,,,,
BBMP (M Corp. + OG) - Ward No.139,88.9,10.6,0.2,,,,
BBMP (M Corp. + OG) - Ward No.140,93,6.4,0.3,,,,
BBMP (M Corp. + OG) - Ward No.141,93.6,6.1,0.2,,,,
BBMP (M Corp. + OG) - Ward No.142,96.2,3.4,0.1,,,,
BBMP (M Corp. + OG) - Ward No.143,96.4,3.3,0.1,,,,
BBMP (M Corp. + OG) - Ward No.144,84.5,15,0.4,,,,
BBMP (M Corp. + OG) - Ward No.145,97.6,1.9,0.1,,,,
BBMP (M Corp. + OG) - Ward No.146,97,2.6,0.2,,,,
BBMP (M Corp. + OG) - Ward No.147,94.8,4,1,,,,
BBMP (M Corp. + OG) - Ward No.148,96.9,2.4,0.4,,,,
BBMP (M Corp. + OG) - Ward No.149,91.9,7.2,0.8,,,,
BBMP (M Corp. + OG) - Ward No.150,93.9,5.2,0.7,,,,
BBMP (M Corp. + OG) - Ward No.151,94.4,4.9,0.6,,,,
BBMP (M Corp. + OG) - Ward No.152,96.1,3.4,0.3,,,,
BBMP (M Corp. + OG) - Ward No.153,90.5,8.3,1,,,,
BBMP (M Corp. + OG) - Ward No.154,95.6,4,0.2,,,,
BBMP (M Corp. + OG) - Ward No.155,96.6,3.2,0.1,,,,
BBMP (M Corp. + OG) - Ward No.156,97.5,2.3,0.1,,,,
BBMP (M Corp. + OG) - Ward No.157,91,5.7,3.1,,,,
BBMP (M Corp. + OG) - Ward No.158,89.8,5.9,4.2,,,,
BBMP (M Corp. + OG) - Ward No.159,94,4.7,0.5,,,,
BBMP (M Corp. + OG) - Ward No.160,94.2,4.6,1,,,,
BBMP (M Corp. + OG) - Ward No.161,95.6,4,0.1,,,,
BBMP (M Corp. + OG) - Ward No.162,97.4,2.3,0.1,,,,
BBMP (M Corp. + OG) - Ward No.163,96.9,2.7,0.1,,,,
BBMP (M Corp. + OG) - Ward No.164,94.8,4.8,0.2,,,,
BBMP (M Corp. + OG) - Ward No.165,96.6,2.6,0.5,,,,
BBMP (M Corp. + OG) - Ward No.166,92,7.6,0.2,,,,
BBMP (M Corp. + OG) - Ward No.167,96.8,3,0.1,,,,
BBMP (M Corp. + OG) - Ward No.168,98,1.7,0.1,,,,
BBMP (M Corp. + OG) - Ward No.169,94.6,4.6,0.6,,,,
BBMP (M Corp. + OG) - Ward No.170,93.5,5.7,0.6,,,,
BBMP (M Corp. + OG) - Ward No.171,97.9,1.9,0.1,,,,
BBMP (M Corp. + OG) - Ward No.172,95.5,4.1,0.2,,,,
BBMP (M Corp. + OG) - Ward No.173,95.7,3.6,0.5,,,,
BBMP (M Corp. + OG) - Ward No.174,95.7,3.4,0.7,,,,
BBMP (M Corp. + OG) - Ward No.175,92.7,6.4,0.8,,,,
BBMP (M Corp. + OG) - Ward No.176,92.9,6.5,0.4,,,,
BBMP (M Corp. + OG) - Ward No.177,91.6,8.2,0.1,,,,
BBMP (M Corp. + OG) - Ward No.178,97.9,1.8,0.1,,,,
BBMP (M Corp. + OG) - Ward No.179,94.6,4.6,0.4,,,,
BBMP (M Corp. + OG) - Ward No.180,93.1,6.1,0.7,,,,
BBMP (M Corp. + OG) - Ward No.181,95.4,4.3,0.2,,,,
BBMP (M Corp. + OG) - Ward No.182,96.1,2.7,0.2,,,,
BBMP (M Corp. + OG) - Ward No.183,96.5,3.1,0.2,,,,
BBMP (M Corp. + OG) - Ward No.184,95.3,3.5,1,,,,
BBMP (M Corp. + OG) - Ward No.185,95,4.7,0.2,,,,
BBMP (M Corp. + OG) - Ward No.186,97.5,2.1,0.1,,,,
BBMP (M Corp. + OG) - Ward No.187,95.3,3.8,0.6,,,,
BBMP (M Corp. + OG) - Ward No.188,93.2,6.3,0.4,,,,
BBMP (M Corp. + OG) - Ward No.189,96.2,3,0.6,,,,
BBMP (M Corp. + OG) - Ward No.190,94.9,4,0.3,,,,
BBMP (M Corp. + OG) - Ward No.191,96.4,3.1,0.2,,,,
BBMP (M Corp. + OG) - Ward No.192,94.1,5.3,0.4,,,,
BBMP (M Corp. + OG) - Ward No.193,95.9,3.5,0.4,,,,
BBMP (M Corp. + OG) - Ward No.194,94.6,4,1,,,,
BBMP (M Corp. + OG) - Ward No.195,95.6,4.1,0.1,,,,
BBMP (M Corp. + OG) - Ward No.196,90.4,8.6,0.8,,,,
BBMP (M Corp. + OG) - Ward No.197,94,4.9,1,,,,
BBMP (M Corp. + OG) - Ward No.198,94.2,4.9,0.7,,,,
BBMP (M Corp. + OG) - Ward No.199,96.9,2.7,0.1,,,,
BBMP (M Corp. + OG) - Ward No.200,95.1,3.2,1.5,,,,
BBMP (M Corp. + OG) - Ward No.202,97.6,2,0.1,,,,
BBMP (M Corp. + OG) - Ward No.203,97.1,2.6,0.2,,,,
BBMP (M Corp. + OG) - Ward No.204,95.7,4,0.2,,,,
BBMP (M Corp. + OG) - Ward No.205,93.8,3.1,2.9,,,,
BBMP (M Corp. + OG) - Ward No.206,89.1,9.7,1.1,,,,
BBMP (M Corp. + OG) - Ward No.207,92.7,6.1,0.8,,,,
BBMP (M Corp. + OG) - Ward No.208,95.6,3.9,0.6,,,,
BBMP (M Corp. + OG) - Ward No.209,100,0,0,,,,
